pubid,gsid,univ
10137170608949973736,70vJVxcAAAAJ,Cornell University
10137515014173106083,hsJqhNAAAAAJ,Arizona State University
10138701058111147446,Dzf46C8AAAAJ,Arizona State University
10138973220044135701,uqLD3qYAAAAJ,University at Buffalo
1013905884416222927,03Bww5gAAAAJ,Univ. of Maryland - Baltimore County
10139929612990696085,lptAmrMAAAAJ,University of Maryland - College Park
10140211327639409716,a6u7NTgAAAAJ,University of North Carolina
10140516228485316631,UCiXhq4AAAAJ,University of Wisconsin - Madison
10140770668607854559,AvanGFkAAAAJ,University of California - Riverside
10140770668607854559,Ppjzn_EAAAAJ,The University of Alabama
10141682092287866855,pwhyTq0AAAAJ,University of Wisconsin - Madison
10141682092287866855,uT9We9MAAAAJ,Princeton University
10141859172607668985,9kT9SaIAAAAJ,University of Wisconsin - Milwaukee
10142420054565395849,w_Q7iBoAAAAJ,Dartmouth College
10142464791666537061,2XCryp4AAAAJ,Carnegie Mellon University
10143624983613399663,I0ZGaCQAAAAJ,Carnegie Mellon University
10143807770075181471,XU7ZT5kAAAAJ,College of William and Mary
10144386693719084924,CUbC2zYAAAAJ,University of Wisconsin - Madison
10144455534171090137,VwQRddkAAAAJ,University of California - San Diego
10144524157042944589,nTMBPAIAAAAJ,Clemson University
1014453604602380117,MNp5hwoAAAAJ,University of Colorado Boulder
10145564059177847748,Hyhp_zUAAAAJ,Carnegie Mellon University
10146199427186967227,V9VBMa8AAAAJ,Stony Brook University
1014645732273983818,YjPRWAEAAAAJ,George Mason University
10146605459317514162,qMOS01AAAAAJ,Massachusetts Institute of Technology
10146650642401419557,RaScARwAAAAJ,Princeton University
10146650642401419557,vrjL9p0AAAAJ,Dartmouth College
10146854718212057542,okcbLqoAAAAJ,Boston University
10147514933178433473,dv7u9JgAAAAJ,Florida State University
10147722848972041584,4EjRiycAAAAJ,University of Georgia
10147975102989389886,zoBZ_FMAAAAJ,Ohio State University
10148040363837841253,rFpexEAAAAAJ,University of Washington
10148253628828822484,POWKkqEAAAAJ,Stanford University
10148310110301703884,7P-gZioAAAAJ,Georgia Institute of Technology
10148310110301703884,F9kqUXkAAAAJ,Carnegie Mellon University
10148961839545617176,LoQXe24AAAAJ,University of Maryland - College Park
10148962253475252350,NoNHPb4AAAAJ,Carnegie Mellon University
10149025156610843095,NeDnx2EAAAAJ,University of Washington
1014941318211539094,BT4XTP4AAAAJ,University of Maryland - College Park
10149585780035176740,QRrrUU0AAAAJ,Case Western Reserve University
10150227700183445504,_KCqeIEAAAAJ,Binghamton University
10150733572356869298,dnbSFbUAAAAJ,University of Michigan
10150734130605690049,BM_qLgYAAAAJ,University of Washington
10150908101962139617,EAQfVXgAAAAJ,University of Maryland - College Park
