gsid,name,university
7P-gZioAAAAJ,Alexey Tumanov,Georgia Institute of Technology
7QF1eF4AAAAJ,Chunyi Peng,Purdue University
7QmEsOwAAAAJ,Yiannis Aloimonos,University of Maryland - College Park
7QTGa98AAAAJ,Norman Ramsey,Tufts University
7r0_F0kAAAAJ,Seongkook Heo,University of Virginia
7t4jbPQAAAAJ,J. Andrew Bagnell,Carnegie Mellon University
7TKz5UgAAAAJ,Kyle Fox,University of Texas at Dallas
7uZPiGoAAAAJ,Alan Kuntz,University of Utah
7wXWIdUAAAAJ,Benjamin W. Fuller,University of Connecticut
7XjL07wAAAAJ,Gregg Rothermel,North Carolina State University
7x-Q4Y8AAAAJ,Paul G. Constantine,University of Colorado Boulder
7YDSuZEAAAAJ,Roberto Manduchi,University of California - Santa Cruz
805n5zYAAAAJ,Errol L. Lloyd,University of Delaware
81cvn3sAAAAJ,Yannis Papakonstantinou,University of California - San Diego
81d60okAAAAJ,Chung-Chieh Jay Kuo,University of Southern California
82FA9YIAAAAJ,David Wentzlaff,Princeton University
83gsCFsAAAAJ,Alexander S. Kotov,Wayne State University
83SAwBsAAAAJ,Melody Moore Jackson,Georgia Institute of Technology
84U09_IAAAAJ,Adel Elmaghraby,University of Louisville
84U09_IAAAAJ,Adel Said Elmaghraby,University of Louisville
8AF3RCsAAAAJ,Abdeslam Boularias,Rutgers University
8aYcwtUAAAAJ,Arun Kulshreshth,University of Louisiana - Lafayette
8bQRH5YAAAAJ,David J. Crandall,Indiana University
8BX3BokAAAAJ,Armando Solar-Lezama,Massachusetts Institute of Technology
8cxDHS4AAAAJ,Antonio Torralba 0001,Massachusetts Institute of Technology
_8DDVkAAAAAJ,Kenneth R. Koedinger,Carnegie Mellon University
8EDHmYkAAAAJ,Shrikanth S. Narayanan,University of Southern California
8f_w4HQAAAAJ,Alberto Cano 0001,Virginia Commonwealth University
